index,pmkArtist,fldName,fldLocation
1218,ARFNJ4O1187B9A204B,Broadcast,"Birmingham, England"
1219,ARON0YP1187FB4B465,Fiona,"New York, NY"
1220,ARM8BKO1187FB3AD47,Carl Crack,Not available
1221,ARABS971187B9A8509,France D'Amour,Not available
1222,AR9W3X91187FB3994C,Phil Collins,"Chiswick, London, England"
1223,ARMIMHT1187B98F038,Teena Marie,"Santa Monica, CA"
1224,AROKDJ41187B9A7700,Mindless Self Indulgence,"New York, NY"
1225,AR20CFC1187B98A25D,Ray Charles,"Albany, GA"
1226,ARCLCFS1187B9AE476,Laurindo Almeida,"Sao Paulo, Brazil"
1227,ARLRHRM11E2835E415,Mandi,Basingstoke
1228,ARVKT151187B9A181D,The Color Red,"Riverside, CA"
1229,ARXRVY51187B99E98E,Jim Bryson,"Ottawa, ON, Canada"
1230,ARIMYEU12086C1536B,IrreversAveis,Not available
1231,ARGY9FW1187B991C7D,Information Society,"Minneapolis, MN"
1232,ARRBINW1187B98AE6D,Marcie Blane,"Brooklyn, NY"
1233,ARNMWP51187FB3E963,Curtis Mayfield,"Chicago, IL"
1234,ARTHKHA1187FB3996A,PMD,"Long Island, NY"
1235,ARG719Z1187FB551FC,Alain Morisod,Not available
1236,ARY1VGA1187FB5A39E,Tom Cochrane,"Lynn Lake, Manitoba, Canada"
1237,ARTF2KG1187B98DDD1,Gold City,Not available
1238,AR059HI1187B9A14D7,Roy Drusky,"Atlanta, GA"
1239,ARZI4B31187B991125,SAF,Gent
1240,ARGMGHN1187B9B4213,Gym Class Heroes,"Geneva, NY"
1241,ARUBJTR1241B9CB16D,Jape Squad,Not available
1242,AR7V0DI1187FB524DE,Frankee,Not available
1243,ARAFRFP1187FB4230B,Williamson,Not available
1244,ART703V1187FB4FD63,Operator,Not available
1245,ARLR9U31187B9A71AD,The Stooges,"Ann Arbor, MI"
1246,ARDL38Z1187B9B9FB5,Dntel,Not available
1247,ARU2JAB1187FB50C72,David Meece,Not available
1248,AR449OQ1187B99B25E,Harvey Averne,Not available
1249,ARUBX2Y1187B99CD25,Tyrone Taylor,Not available
1250,AR22R8A1187FB46B9E,Shanadoo,Tokyo
1251,AR0JEOI1187B98B918,Erik Berglund,Texas
1252,ARZWBH21187B99ACE1,GA1/4nter Noris,Not available
1253,AR4C6V01187FB3BAF4,Moonspell,Portugal
1254,ARAVS1S1187FB4C519,Chico Hamilton,"Los Angeles, CA"
1255,ARJJGI41187B99C19B,AndrA(c)a,UK - England - Yorkshire
1256,ARY8UIR1187B999BFB,Azukx,Not available
1257,ARSBB7P1187B989690,Steve Azar,Not available
1258,AR4W9EZ1187B99282A,Kenny Neal,"New Orleans, LA"
1259,ARFK45R1187B989AA7,Ghorwane,Not available
1260,ARKJ8Y91187B9B551E,Nichols,FRANCE
1261,ART3KT21187FB450DC,Ennio Morricone,"Rome, Italy"
1262,ARK24KH1187B9B6B93,Vaselines,Not available
1263,ARSTXTP1187B99BD43,Beto Cuevas,Not available
1264,ARTFDBX1269FB34CA4,Catia Werneck,Not available
1265,AR4IYQR1187B98F8F3,Off Broadway,"Oak Park, IL"
1266,AR1PQYO1187B98BEC9,HA(c)lio Ziskind,Not available
1267,AR00MBZ1187B9B5DB1,Memphis Minnie,"Algiers, LA"
1268,ARHD3RX1187FB3A7DA,Steel Pulse,"Birmingham, England"
1269,ARHNCQ31187B9915DC,Mississippi John Hurt,"Teoc, MS"
1270,AR9VEMN1187FB4D75B,Caspa,London
1271,ARRW6DJ1187FB50A67,Pacha Massive,"New York, NY"
1272,AR58ZXX1187FB572F2,Kardinal Offishall / Keri Hilson,Not available
1273,ARW74FW1187FB554AD,THE COOKIES,Not available
1274,ARYHPHB12131B4B793,Peppermint Creeps,California - LA
1275,ARYGMNP11F4C843096,M Sane,Not available
1276,ARO7IJV1187FB5BFAD,Oesch's die Dritten,Not available
1277,ARZFRQM1187B9A9772,Vanessa Daou,Not available
1278,ARB4ZRM1187B993147,Dark Fortress,Not available
1279,AR41ESB1187FB360B1,Gloria,BG
1280,AR37E341187B989A3E,Wilshire,"GREENSBORO, North Carolina"
1281,AR2FJV21187B98EBE3,Legacy Five,Tennessee
1282,ARAIABB1187B9AC6E2,Seal,"Paddington, London, England"
1283,ARPAAHK1187B9ABB00,Nickelback,"Hanna, Alberta, Canada"
1284,ARP2TO91187B9913EA,AngA(c)lica MarAa,"New Orleans, LA"
1285,ARR46IW1187FB51C2E,Nicholas Hooper,Not available
1286,ARQI60P1187FB464C9,The Ocean,"London, Ontario, Canada"
1287,ARO1NHM1187B9B9D27,Los Solitarios,Not available
1288,ARHCERP1187B9912A5,Glen Washington,Not available
1289,ARGVJPK1187B9909EA,Josh Groban,Not available
1290,ARQMYTM1187FB4678C,Josh White,"Greensboro, NC"
1291,ARRXEJJ11F4C841087,The Paynes,United States
1292,ARPAAPH1187FB3601B,Bacilos,Not available
1293,AR1DLF21187FB3CBF0,4Him,Not available
1294,AR6137D1187B9A39C8,Scalplock,Not available
1295,ARKPDUG11F50C4B54A,Juggler,Not available
1296,AR4OMY81187B9B31E7,Cursed,Not available
1297,ARBBBLV1187FB57B70,The Fever,"New York, NY"
1298,AR2SGQW1187B9B9E7C,KRS-One,Not available
1299,ARLAWDD1187FB48367,Carlos Vives, 
1300,ARZ8S071187B993849,Tito Rodriguez_ Louie Ramirez,"San Juan, Puerto Rico"
1301,AROMMVN11F50C50607,Margaret Smith,Not available
1302,AR051KA1187B98B2FF,Wilks featuring doniki,Not available
1303,AR15YLD1187FB3D4DD,John Tchicai,"Copenhagen, Denmark"
1304,ARC0MTS1187FB44C21,Toots Thielemans,"Brussels, Belgium"
1305,ARLZN951187FB42E49,Tad,"Seattle, WA"
1306,ARTDQRC1187FB4EFD4,Black Eyed Peas / Les Nubians / Mos Def,"Los Angeles, CA"
1307,ARCRSUM1187FB52AB0,The Frequency,Not available
1308,ARPGOAF1187B98F677,Giorgos Tsalikis,Not available
1309,ARPGPI51187B98F1EC,MDO,Not available
1310,ARZHUJU1187FB51176,Leigh Jones,Not available
1311,AR7GUNF1187B990CCF,Between The Buried And Me,"Charlotte, NC"
1312,ARC6J781187B98F02B,Tania Maria,Not available
1313,ARL4M621187FB3FF06,Massiel,Not available
1314,ARWWYK211C8A415AD4,Micachu,Not available
1315,ARHRY5S1187B99B96F,Static-X,Alabama
1316,AR6896B1187B98FADA,Paso Doble,Not available
1317,ARAZ59E1187B98BF6D,Webb Wilder,Not available
1318,ARZAEIP12086C12905,Gruppo Jazz Marca,Great Britain / UK
1319,AR4MCB01187B98BF5C,Atman,Not available
1320,ARVNK831187FB48831,Shakedown,California
1321,ARGGD1E1187B98FA9D,Parachute Band,Not available
1322,ARYC3YP1187FB4C64D,Leonid Rudenko,Not available
1323,ARYB2FW1187B991400,Wilmington Chester Mass Choir,Not available
1324,ARHSAXP11EB9C80B35,Stewart Francke,Michigan
1325,AR1JD6E1187FB5696C,James Last,"Bremen, Germany"
1326,ARV4I6F1187FB4D595,5th Ward Boyz,Not available
1327,ARCHVKD1187B9934E9,Bill Perkins,"San Francisco, CA"
1328,ARWF1KM1187B9908CA,Spliff,Not available
1329,ARQQP3Z1187FB5707B,Bert Kaempfert And His Orchestra,"Hamburg, Germany"
1330,ARRZZRW1187B9A06E3,Rachel Portman,Not available
1331,ARW3V6T1187B9ACAC4,Miossec,"Brest, France"
1332,ARAZYBE1187FB38BC1,Memphis Sheiks,Not available
1333,AR3TG3X1187FB4D577,Atari Teenage Riot,"Berlin, Germany"
1334,ARKR75V1187FB3D4D5,My Chemical Romance,New Jersey
1335,ARE2QID1187B98FA19,Sleepy John Estes,"Ripley, TN"
1336,ARHXIOW1187FB3AF67,The Mad Capsule Markets,JP
1337,ARTE3P61187B9A709D,Roger Williams,"Omaha, NE"
1338,AR1ABAO1187FB531E1,Alice Cooper,"Detroit, MI"
1339,ARJ8PZJ1187B99314F,Aiden,"Seattle, Washington"
1340,AR9ST641187B99B4DE,Cal Tjader,"St. Louis, MO"
1341,ARXK8H71187FB44850,ZaA-ko Langa Langa,Not available
1342,AR326OO1187FB444FF,Rebecca Lynn Howard,"Salyersville, KY"
1343,ARK30AI1187FB3C777,Dive,NY - Upstate NY
1344,ARDPTGD1187B9AD361,Brand X,"Sikeston, MO"
1345,AREU6JB1187B9911D4,Virtuoso,Louisiana
1346,ARHNMEZ11F50C4706C,Karen Peck And New River,Tennessee
1347,ARBLIP81187B98BE0C,Judy Mowatt,Jamaica
1348,ARSMRIN1187B9AB35A,Paul Rodgers,"Middlesbrough, England"
1349,ARFN2TE11A348EFFB4,David Cook,"Tulsa, Oklahoma"
1350,ARVVLMQ11F4C8456E4,Knack,Not available
1351,AR4Q1VD1187B9893C7,Mulberry Lane,Not available
1352,ARVZWQ31187B9B8946,Liars,LA / NYC
1353,ARBY23A1187B9A82E4,Naseebo Lal_ Arif Lohar,Not available
1354,ARPV8QO1187B98B77F,DJ Taz,Not available
1355,AR9ILJF1187B9B80ED,Gabriel Yared,"Beirut, Lebanon"
1356,ARIIUJC122988F51F6,Starless & Bible Black,Not available
1357,ARM4J201187B9B8B3B,Gustavo A. Santaolalla,"Buenos Aires, Argentina"
1358,ARZUZYU12086C17110,Widespread Bloodshed,Not available
1359,ARJNQM51187FB54C55,Smut Peddlers,Not available
1360,ARAMCAZ1187B9AB6F5,Afrob feat. Sarah,Not available
1361,ARNSTES1187FB4FC9B,Shinehead,"London, England"
1362,ARJ8ZIQ1187FB3FB5A,Milo,"Champaign-Urbana, IL"
1363,ARVLIVA1187B991590,Zeca Baleiro,Not available
1364,AR05OJD1187B9B99A6,Ol' Dirty Bastard,"Brooklyn, New York"
1365,AR06USW1187FB4EACA,The Lord Weird Slough Feg,California - SF
1366,AR21JFF1187B9A5CBA,Six Brown Brothers,Not available
1367,ARWHWYH1241B9CCA16,Mario Garcia,Not available
1368,ARPN0NC1187B991591,Eddie Jones,"Greenwood, MS"
1369,ARGEZ5E1187FB56F38,Audio Adrenaline,Not available
1370,AR0NS5Z1187B99AF79,Zuma,Not available
1371,ARCBZHP11F4C83D8B2,Nick Conolly,Not available
1372,ARJPRV411A348EFE4B,Rupa & the April Fishes,Not available
1373,ARNEJAG1187FB41600,Vitamin C,Not available
1374,ARRT66G1187FB3DDF9,Freddie King,"Gilmer, TX"
1375,ARDDWUI1187FB379F7,Amoral,"Helsinki, Finland"
1376,AROY6XW1187B991121,Steve Vai,"Carle Place, New York"
1377,ARMSL551187FB3F4B0,K's Choice,Not available
1378,ARBFDJW1187B9AD27A,The Fabulous Thunderbirds,"Austin, TX"
1379,AR7WGYZ1187FB3CAB0,Wang Chung,Not available
1380,ARPFKK81187B99878D,Tex Williams,"Ramsey, Fayette County, IL"
1381,ARXDQJB1187FB57154,Faithless,"London, England"
1382,ARQC4R31187B9A0D88,Jo Privat,Not available
1383,ARFQ3191187B98AD2E,Marion Harris,Indiana
1384,AROSI8L1187B9ACD43,Ice Cube,"Los Angeles, CA"
1385,ARWPYQI1187FB4D55A,Rick Astley,"Newton-le-Willows, Merseyside, England"
1386,ARPMJGA11F4C83BDFE,US Coast Guard Band,Not available
1387,AR7KQQ91187B98ED7A,Lollipop Lust Kill,Not available
1388,ARLV8S31187B988B71,Georges Brassens,"Si?1/2, France"
1389,ARJ5DZC1187B99FBDA,Chariots,Not available
1390,ARDV4XV1187FB5A3F4,Apache Indian,Not available
1391,AR8WVQY1187FB3FA10,J. Karjalainen & Mustat Lasit,Not available
1392,ARV69FI1187B9AA14F,Kari Tapio,Not available
1393,AR4NREB1187B9AEDAC,Mink DeVille,"New York, NY"
1394,AR9E43L1187FB566FA,Steve Chou,Not available
1395,ARZPDMU12086C15872,Cantara,Not available
1396,AR1N6N61187FB4E25E,Mongo Santamaria,"Havana, Cuba [Jesus Maria]"
1397,ARYWZLP1187FB4F7D3,Vincenzo Bellini,"Catania, Italy"
1398,ARM86R71187FB4CBB4,Christian Quast,Not available
1399,AREEJJK1187FB56DC7,Evolution,Sofia
1400,AR1AIC51187B98C03F,Theodor Zox,Not available
1401,AR8YV0M1187B99F3E8,Mix Mob,Not available
1402,ARQZY2A1187B9B7604,Erja Lyytinen,Not available
1403,ARQRQRA12131B4B5A8,Cake,Not available
1404,AR189B91187B9B8D9C,Gustavo Cerati,Not available
1405,ARRPFCU1187FB5402E,Oldelaf et Monsieur D,Not available
1406,AR8ZQ9T1187FB56FE5,Goldfinger,"Miami, Florida"
1407,ARP6RUO1187FB3F1CF,The Embarrassment,Not available
1408,ARF1FZV1187B98C928,Tiny Bradshaw,"Youngstown, OH"
1409,ARD7U0O1187FB5531A,AndrA(c) Verchuren,Neuilly-sous-Clermont (Oise)
1410,ARFF1MH1187B999687,Latif,Not available
1411,AR243ZT1187B9A98D2,Otis Spann,"Jackson, MS"
1412,ARDKBQO1242077E25E,Matteo Bonfanti e i maledetti,Not available
1413,ARBY23A1187B9A82E4,Naseebo Lal,Not available
1414,AROGAPH1187B98CF9C,BA(c)nabar,Not available
1415,AR65K7A1187FB4DAA4,BeyoncA(c),Not available
1416,AR8PL5L1187FB37A10,A Perfect Murder,CA
1417,ARI648V1187B9B5379,Michael Stanley Band,Not available
1418,AR0N0DX1187FB41327,Talvin Singh,"London, England"
1419,AR323JD1187FB483D0,Solomon,New York
1420,ARKHMZB1187B998670,Curtis,Not available
1421,ARGRMG41187B99AB1E,Toby Emerson,Not available
1422,AR3Q86S1187B9ADDCF,Deep Forest,"Lille, Nord-Pas-de-Calais, France"
1423,AR576O51187B990C30,Tampa Red,"Smithville, GA"
1424,ARCP94M1187B9B0F56,Every Time I Die,"Buffalo, New York"
1425,ARJ7VKJ1187B98BA4B,Lifer,"Wilkes Barre, PA"
1426,ARBIXZL12086C11573,The Dee Jays,Not available
1427,ARDIP5S1187FB57056,Diamond D,Florida
1428,ARNVCZC1187B9934F5,Corona,Not available
1429,AR8V1WA1187B9AD9E9,The White Stripes,Nashville / Los Angeles
1430,ARGFOAI1269FB3852B,2Fresh,Not available
1431,ARK3KQ41187B9A64F0,Ndala Kasheba,Tanzania
1432,ARY1K701187B9A43A9,Joe McBride,Not available
1433,ART5IUL1187B9B0143,Lady Saw,"St. Mary's, Jamaica"
1434,ARYECDK1187FB45587,The Stranglers,Not available
1435,ARHDHOX122988F500E,Hot Club Of Detroit,Not available
1436,AROBHK51187B9AD82B,Funeral For A Friend,Wales
1437,AR0JPOG1187FB37383,Lyrics Born,Japan
1438,ARAKARO1187B9A1EB6,George Michael,"London, England"
1439,ARVJSJY1250940FA2B,Tulipunaruusut,Not available
1440,AR32ETX1187B9A792F,The Vaughan Brothers;Stevie Ray Vaughan;Jimmy Vaughan,Not available
1441,ARX14WH1187FB50649,Babe Ruth,"Hatfield, Hertfordshire, England"
1442,ARNZ70R1187B9A4824,Joe Satriani,"Westbury, Long Island, NY"
1443,ARA82JG1187FB36131,Charlie Haden & Chris Anderson,"Shenandoah, IA"
1444,ARUW6HS1187FB3F028,Rokia TraorA(c),Not available
1445,ARKN6D91187B9B09A2,Speaker,Not available
1446,ARALUOY122988FD079,Christos Kedras,Not available
1447,ARTK5LU1187B9A654C,Michael Gettel,Not available
1448,ARR5CEB1187FB5A3FF,Restless Heart,Not available
1449,AR6DGPH1187B998587,David Evans,Tennessee
1450,ARRTP2G1187B9AF916,Will Pan,Not available
1451,AR87K371187FB5AA8E,Uriah Heep,"London, England"
1452,ARSBZSV1187B989B86,Stress Assassin,Not available
1453,ART1R9I1187B9B3324,Margaret Becker,Not available
1454,AR7BODP1187B9B7766,Abracadabra,CANADA - Ontario
1455,ARCYJTW11F4C840F74,Orchids,California
1456,ARJRQL51187FB541AB,Juan Carlos Baglietto,Not available
1457,ARF1PSM1187B9B802A,Sugarbomb,Not available
1458,ARMPQIE1187FB3D4EB,Bounty Killer,"Kingston, Jamaica"
1459,AR7ZI7Z1187B98BF55,Mago de Oz,Not available
1460,ARTP2PK1187B98FECA,Quinteto Violado,Not available
1461,ARATR0U1187B9B76D0,Dead To Me,"San Francisco, CA"
1462,ARYYTAY1187B9B5F9D,Paloalto,"Los Angeles, CA"
1463,AR5OB9M1187FB52F29,Darryl Worley,"Savannah, TN"
1464,ARIOTFR1187B98F316,Mykill Miers,United States
1465,AROYBLU1187B99A255,Jarvis Church,Not available
1466,ARFLD291187B9966AA,Damita Jo,"Austin, TX"
1467,ARWWDSC1269FCD4D06,"MinistA""re des Affaires Populaires",Not available
1468,ARSKATF1187B98A622,Alain Turban,Not available
1469,ARO0R521187B98A2D1,2 Minutos,Not available
1470,ARFKYG51187FB4CE41,April Wine,"Halifax, Nova Scotia, Canada"
1471,ARSSW5A1187FB4B5E5,Estrellas Cubanas,Not available
1472,ARDHNC31187B9A1898,Al Denson,Not available
1473,AROJAG11187B9B71A3,The Chap,London
1474,ARHOCKY11E2835D7CB,MA!ire Brennan,Not available
1475,ARSE5NP1187B9B98AB,Twista,"Chicago, IL"
1476,ARMYPSO11F50C49252,Dictators,NY - New York City
1477,ARTOCWH11F50C4CE12,The Accursed,Not available
1478,ARHT0B11187B993CB3,Eddy Raven,"Lafayette, LA"
1479,AR3FE581187FB3F90A,Fabolous,"Brooklyn, NY"
1480,AR8K7ET1187B997ABC,Sulk,Not available
1481,ARISHTQ1187FB3E6F0,Ben E. King,Not available
1482,ARLNSD41187FB4D9A0,Sergio Franchi,Italy
1483,ARYKFVV1187FB3CA6B,The London Pops Orchestra,Not available
1484,AR5M3681187B998D11,Edwin Hawkins,"Oakland, CA"
1485,ARDNQ0R1187B9BA1EF,Lonnie Johnson,"New Orleans, LA"
1486,ARM2WL31187B9A3D69,F.l.y.,Michigan
1487,ARHKW8K1187FB4C9A2,Orbit,Not available
1488,AR5FP401187FB523C9,Bob Dylan,"Duluth, MN"
1489,AR9HQ6Y1187FB3C2CB,Orlando Pops Orchestra,Not available
1490,ARGF5QG1187B9AC84F,Geiom Ft. Marita,Not available
1491,AREOREU1187B99AACD,Rhian Sheehan,Wellington
1492,ARGRTPZ1257509D28A,David Saylor,Not available
1493,AR6KK741187B98C9E9,Roy Brown,"New Orleans, LA"
1494,ARUIO0J1187FB3D7D7,Mest,"Chicago, IL"
1495,ARQIWOW11F4C840FF1,Cumberland Quartet,Missouri
1496,ARNG61X1187B98C7DF,Five Blind Boys of Alabama,"Talladega, AL"
1497,ARRU9GR1187FB43F56,Blind Willie McTell,"Thomson, GA"
1498,ARBMHBC11F4C8403A2,Hushabye Baby,Not available
1499,AR99OWM11C8A4149FD,Arco Iris,Valais/Suisse
1500,ARUJZFJ1187B9B135F,Shania Twain,"Timmins, Ontario, Canada"
1501,AR3NPVS1187FB5108F,Les Rythmes Digitales/ Tzant Feat. ODC MC,"Paris, France"
1502,ARCGJ6U1187FB4D01F,Akon,"St. Louis, MO"
1503,ARQXJW51187B9AEE27,Since The Flood,New Hampshire
1504,ARJ7NR71187FB437B7,Yank Rachell,"Brownsville, TN"
1505,ARQR8Y51187B9B8E9C,La Mancha De Rolando,Not available
1506,ARV38M11187B99424D,Larry Graham & Graham Central Station,California
1507,AR78WG01187B98E404,Johnny Pacheco/Rolando La Serie,"Santiago de los Caballeros, Domin"
1508,ARVA23V1187B98C54A,Barley Bree,Not available
1509,ARB1KC91187FB38B13,Carl Smith,Not available
1510,ARND48J1187B990A0B,Storyville,Texas
1511,ARGP3GD1187B999801,Tony Martin,"Oakland, CA"
1512,ARL5BEN1187B98E4D9,Jah Cure,"Montego Bay, Jamaica"
1513,AR2G8SU1187FB4A871,James Carter,"Detroit, MI"
1514,AR8TLVX1187B9B2D7D,Mithotyn,Sweden
1515,ARI4SKQ1187B9B43B0,Beres Hammond,Not available
1516,ARDK6QW1187B9B8D85,UK Subs,UK - England - Yorkshire
1517,ARJ1BWM1187B9B117B,Embrace the End,Not available
1518,ARID75M1187B9B8341,Steve Green,Not available
1519,ARHTV1S1187FB547F8,Marc Perrone,Not available
1520,ARDAXCG1187B9942B1,Leonardo Favio,Not available
1521,ARGDSO91187B9AAB35,Patrick Bruel,Not available
1522,AR2XRFQ1187FB417FE,Julie Zenatti,Not available
1523,ARZRCCP11F50C5165F,Los Tres Diamantes,Not available
1524,AROCBZZ11E2835D652,Small Facers,Not available
1525,ARR88SE1187B9B515D,Michael Landau,California - LA
1526,AR50Z881187B9BA197,Jack Sheldon,"Jacksonville, FL"
1527,ARNWZ1N1187B9B71BA,Handsome Boy Modeling School,Not available
1528,ARHOCKY11E2835D7CB,Maire Brennan,Not available
1529,ARCBYJW1187FB51FD8,Major Lance,"Chicago, IL"
1530,AREV0ZO1187B997221,Doyle Bramhall,"Dallas, TX"
1531,ARSG7NQ1187FB57482,Fall Out Boy,"Wilmette, IL"
1532,ARO9IJB1187B9939D0,Deckard,Not available
1533,ARNFTGS1187B9A465F,Bedwetters,California - LA
1534,ARVAE6W1187FB3CAF3,The Refreshments,Not available
1535,ARNLHY61187FB3A0C0,Organ Donors,United States
1536,AR6LOPL1187FB4DABE,Mirah,Washington
1537,ARUP17W1187B98CAB9,Charlie Byrd / Laurindo Almeida,"Chuckatuck, VA"
1538,ARXYQYW122988F2066,Clarisse Lavanant,Not available
1539,ARBPRDX1187B9B1CA3,The Skabs,Illinois
1540,AR05NQH1187B98E875,Kassav',Not available
1541,ARE8RCR1187B996BF2,BeauSoleil,Not available
1542,ARHTRR71187B98F305,Michelle Tumes,Not available
1543,AR342K51187B98B571,Olivier Messiaen,Not available
1544,ARWR6RK1187FB3AB52,From Autumn To Ashes,"Long Island, NY"
1545,AREWQSE1187B9AEC6C,The Jackson Southernaires,Mississippi
1546,ARXWAQQ1187B9AE954,Redman / Hurricane G / Melanie Rutherford,"Newark, NJ"
1547,ARF3XJD1187FB38DE0,Cristy Lane,"Peoria, IL"
1548,ARPISA41187FB3DE42,Humble Pie,"Essex, England"
1549,AR20BO61187B9B880E,Patton Oswalt,"Portsmouth, VA"
1550,ARNMHWR11F4C83B384,Kingston Trio,Vermont
1551,ARQWJ1D1187B990964,Barrio Obrero,Not available
1552,ARHAMVP1269FCD2C1C,Supertalented,Not available
1553,ARB1CNO1187FB4CE93,45 Grave,Not available
1554,ARRVPI51187B9A1F1B,Roommate,"Colorado Springs, CO"
1555,AR2EO6H1187B9A3B92,Brian Tyler,Not available
1556,ARRVUWA1187B9A0FE2,Orquesta Aragon,Cuba
1557,ARBFCK11187FB4C89B,Brian Eno And David Byrne,"LAS VEGAS, Nevada"
1558,ARS8WH31187B9B8B04,Edu Lobo,Not available
1559,ARDSWIE1187FB39056,Gang Starr,"Boston, Massachusettes"
1560,ARXJSHW1187B9A2A52,Nestor Torres,"Miami, FL"
1561,ARLIIVS1187FB5583B,Philip Glass,"Baltimore, MD"
1562,ARN3O411187FB4D859,Stephan Micus,Not available
1563,ARGP7WY1187FB45464,Edmond Leung,Not available
1564,ARRCKE61187B99377F,Janice Robinson,"Garfield, NJ"
1565,ARWMZYB1187FB480A7,The Aftermath,"BogotA! D. C., Colombia"
1566,ARJ7KF01187B98D717,Coldplay,Not available
1567,ARWC3XN1187B9A8D82,ZO2,NY - New York City
1568,ARI8ECO119B3403C34,Ed Byrne,Not available
1569,ARW2U4O1187FB4408B,Andrew W.K.,New York NY
1570,ARZH3SW1187B98C96E,Onyx,Not available
1571,ARJ2PMY1187FB5B563,Burning Spear,NY - Long Island
1572,ARU35NK1187FB46CFD,Methods Of Mayhem / Scott Kirkland,Not available
1573,ARIZODP1187B9AD272,Bryan Ferry,"Washington, England"
1574,AROIL3N1187B9A9975,BLEED THE SKY,"Orange County, CA"
1575,ARPAH7U1187B9A308F,Fred Locks,Not available
1576,ARO41T51187FB397AB,Sasha,"Mexico City, Mexico"
1577,ARNCOPS1187FB5A086,Dolores Keane,Not available
1578,ARGESWU11F4C83BA07,Lauren Wagner & Fred Weldy,Not available
1579,ARDAE2T1187FB50796,Mr. Sancho,Not available
1580,ARBIPSC1187FB522FE,Tony Danza Tap Dance Extravaganza_ The,Not available
1581,ARC15471187FB4640C,Hurricane,Kansas
1582,ARSEUOO1187B999569,Adolph Hofner,"Moulton, TX"
1583,AR7JPF81187B988D23,Charlie McCoy,"Jackson, MS"
1584,ARLBNAC1187FB47151,Alex Gopher,Not available
1585,ARONPP01187B995FB5,Cockney Rejects,England
1586,ARG3UX61187B9AC05A,D.O.W.N.,Not available
1587,AR5M35O1187B9A0D74,SOL,Los Angeles California USA
1588,AR32PK91187FB4D6E2,Philip Bailey,"Denver, CO"
1589,ARZEA421187FB5B5BA,Lee Michaels,"Los Angeles, CA"
1590,AR7H21J1187FB40C69,Mr. Lif,Not available
1591,ARASWKT1187B9923B7,Felix Slatkin/Concert Arts Symphonic Band,"St. Louis, MO"
1592,ARK9K3O1187B98F504,Cherrelle,"Los Angeles, CA"
1593,AR2KSTE1187FB57A36,Petra,"Fort Wayne, Indiana"
1594,ARUWLCL1187FB549B8,Yamandu + Dominguinhos,Not available
1595,ARHWVGW1187FB41479,The Paul Butterfield Blues Band,Not available
1596,ARVXKTV1187FB44139,Arsonists Get All The Girls,"Santa Cruz, CA"
1597,ARXR2N11187B99857E,Hot Wire,"Newbury Park, CA"
1598,ARJQ8WU1187FB37FCD,Patrick Saint-Eloi,Not available
1599,ARY53RR1187B9AE485,Avril Lavigne,"Napanee, Ontario, Canada"
1600,ARWLV931187B9B0F5A,Evergreen Terrace,"Jacksonville, FL"
1601,AR286CH1187B9B8441,James Ingram,"Akron, OH"
1602,AR0IAWL1187B9A96D0,Danilo Perez / Claus Ogerman,Panama
1603,AR6U6C51187B9B6F68,Jean-Yves Thibaudet / Gewandhausorchester Leipzig / Herbert Blomstedt,Not available
1604,ARLSGUY1187B98AEBC,Crabby Appleton,USA
1605,ARBJFXO122C8677DF0,Dave Rave_ Mark McCarron,CANADA - Ontario
1606,ARINXZA1187FB56902,Remi Nicole,Not available
1607,AR8R2KI11C8A415967,AndrA(c) Blot,Not available
1608,ARHOSMU1242078130D,All Leather,Not available
1609,ARJ7SQ31187B9AF432,Billy Bragg,"Barking, Essex, England"
1610,AR7AOEJ1187FB3D279,Little Milton,"Inverness, MS"
1611,ARFT5CP1187FB50263,Junior Jack,Not available
1612,AR38I491187B9B2F2D,Lil Boosie,Not available
1613,ARTBQTE1187B9B8A0F,Candlebox,"Seattle, WA"
1614,ARKC83D1187B9AB367,Mark Lowry,Not available
1615,ARXB7B21187B98BEF0,Marisela,Not available
1616,ARHYNR9119B8668FA3,The Oh Sees,Not available
1617,ARBJC9U1187B9A70AC,Kitty Kallen,"Philadelphia, PA"
1618,ARAOAHG1241B9C8D9B,Autonomous Bass Heads,Not available
1619,ARMYKRB1187B98CFF0,Cowboy Mouth,Not available
1620,ARG36WO1187B9B3A9A,Jeff Talmadge,Georgia
1621,ARAOADX1187B98AED3,Dwight Twilley,"Tulsa, OK"
1622,AR7ZI7Z1187B98BF55,MA$?go de Oz,Not available
1623,ARDZJ6H1187FB387F2,Moraes Moreira,Not available
1624,AR3JLWI1187FB37141,Darko,GLEN BURNIE
1625,AREENKN1187B98F35D,Plasmatics,"New York, NY"
1626,ARR40ZV1187B9A10A8,Stern,Pennsylvania
1627,ARZDUJG1242077E2C5,Yuridia,Not available
1628,ARG09R51187FB4D5C2,Bryan White,"Lawton, OK"
1629,ARJ3DXR1187FB4F879,Dirty Harry,Washington
1630,ARLMCCW1241B9CE7CB,Kurt Tepperwein,Not available
1631,AR3TITY1187B99E790,Gyptian,Not available
1632,ARXGASQ1187FB3C727,Camp Lo,"New York, NY [Bronx]"
1633,ARU868Z1187FB47319,Wonderland,Mass. - Western
1634,ARANIJI11F4C83EFD2,Toots & The Maytals,Not available
1635,AR2UQQ51187B9AC816,Gipsy Kings,"Arles, France"
1636,ARXOUML1187FB48ACB,Patrick Lamb,Portland
